Chains level	B1-P	B2-P	B3-P	C1-P	C2-P	C3-P	E1-P	E2-P	E3-P	A1-P	A2-P	A3-P
Label	LcS	LcS	LcS	LcS	LcS	LcS	WS	WS	WS	WS	WS	WS
Cer 22:0;2O_21:0;(3OH)(FA 15:0)	0	0	0	0	0	0	1E-05	0	0	6E-05	0.00013	4E-05
Cer 22:0;2O_21:0;(3OH)(FA 16:0)	0	0	0	0	0	1E-05	0.00017	0.00011	0.00019	0.00075	0.00219	0.00011
Cer 22:0;2O_21:0;(3OH)(FA 18:0)	0	0	0	0	0	0	3E-05	4E-05	0	0.00039	0.00131	0.00035
Cer 22:0;2O_21:0;(3OH)(FA 18:1)	0	0	0	0	0	3E-05	0.00015	0.00014	0.00016	0.00146	0.00216	9E-05
Cer 22:0;2O_21:0;(3OH)(FA 18:2)	1E-05	0	0	0	0	0	0.0001	1E-05	0	0.00051	0.00026	0.00046
Cer 22:0;2O_22:0;(3OH)(FA 18:2)	0	0	0	0	0	0	0	0	0	2E-05	1E-05	1E-05
Cer 22:0;3O_20:0;(2OH)	6E-05	0.00013	2E-05	7E-05	0.00012	0.00011	0.00027	0.0002	0.00021	0.00013	0.00018	0.00011
Cer 23:0;2O_23:0;(2OH)	5E-05	5E-05	7E-05	2E-05	3E-05	3E-05	2E-05	3E-05	5E-05	6E-05	0.0001	5E-05
Cer 26:1;3O(FA 18:2)	9E-05	8E-05	9E-05	1E-05	0.00019	1E-05	0.00033	0.00024	0.00026	0.00021	0.00028	0.00013
Cer 27:1;3O_17:2;(2OH)	0.00036	0.00038	0.00039	0.00039	0.00036	0.00034	0.00023	0.00018	0.00021	0.00037	0.00045	0.00024
Cer 28:5;3O(FA 18:2)	0	0	0	4E-05	0.00016	0.00016	0	0	0	0	0	1E-05
Cer 29:4;3O(FA 18:2)	2E-05	2E-05	2E-05	2E-05	1E-05	2E-05	9E-05	6E-05	7E-05	4E-05	7E-05	4E-05
Cer 30:3;3O(FA 18:2)	8E-05	8E-05	0.0002	0.00018	0.0002	8E-05	3E-05	1E-05	1E-05	2E-05	0.00018	8E-05
Cer 30:4;3O(FA 18:2)	0.00021	0.0002	0.00023	0.00028	0.00027	0.00026	0.00121	0.00081	0.00096	0.00057	0.0008	0.00041
Cer 31:3;3O(FA 18:1)	6E-05	2E-05	6E-05	2E-05	1E-05	4E-05	9E-05	1E-05	1E-05	2E-05	0.00031	3E-05
Cer 31:3;3O(FA 18:2)	0	2E-05	1E-05	0	0	0	0	0	1E-05	3E-05	8E-05	1E-05
Cer 31:4;3O(FA 18:1)	0.00278	0.00305	0.0031	0.00311	0.003	0.00281	0.0023	0.00161	0.00188	0.00273	0.00332	0.00178
Cer 31:4;3O(FA 18:2)	0.00034	0.00037	0.00037	0.00021	0.00046	0.00048	0.00219	0.00197	0.00114	0.00064	0.0007	0.00044
Cer 31:5;3O(FA 16:0)	0.00041	0.0003	0.00035	0	2E-05	1E-05	0.01251	0.0052	0.00543	2E-05	0.00564	0.00098
Cer 31:5;3O(FA 18:1)	0.00072	0.0008	0.00081	0.00118	0.00153	0.00127	0.00298	0.00228	0.00246	0.00182	0.00231	0.00117
Cer 33:2;3O(FA 18:1)	0	0	0	0	0	0	0	0	0	2E-05	3E-05	2E-05
Cer 33:2;3O(FA 18:2)	0	0	0	0.00016	1E-05	0	0	0	0	0	0	0
Cer 33:3;3O(FA 18:1)	1E-05	3E-05	2E-05	1E-05	1E-05	5E-05	0	0	0	5E-05	3E-05	0
Cer 34:0;3O(FA 18:1)	0	0	1E-05	0	0	0	1E-05	1E-05	1E-05	0.00024	0.00017	0.00018
Cer 34:0;3O(FA 18:2)	4E-05	0.0001	8E-05	3E-05	4E-05	2E-05	2E-05	0	2E-05	0.00033	0.00041	0.00024
Cer 34:1;3O(FA 16:0)	1E-05	0	1E-05	0	0	0	0	0	0	6E-05	4E-05	1E-05
Cer 34:2;3O(FA 16:0)	2E-05	2E-05	3E-05	1E-05	2E-05	2E-05	0	0	6E-05	3E-05	6E-05	6E-05
Cer 34:2;3O(FA 18:1)	3E-05	3E-05	3E-05	1E-05	1E-05	2E-05	0	0	0	9E-05	0.00011	6E-05
Cer 34:2;3O(FA 18:2)	0.00012	0.00014	0.00012	1E-05	3E-05	1E-05	1E-05	0	0	0.0002	0.00022	0.00014
Cer 34:3;3O(FA 18:2)	5E-05	6E-05	6E-05	2E-05	3E-05	3E-05	1E-05	0	2E-05	0.00025	0.00034	0.00018
Cer 35:2;3O(FA 18:1)	3E-05	2E-05	3E-05	2E-05	1E-05	1E-05	1E-05	1E-05	2E-05	0.00017	0.00034	0.00013
Cer 35:2;3O(FA 18:2)	0.00016	0.00015	0.00017	9E-05	9E-05	8E-05	3E-05	3E-05	2E-05	0.0006	0.00065	0.00041
Cer 35:3;3O(FA 18:1)	3E-05	2E-05	3E-05	2E-05	2E-05	1E-05	0	0	0	8E-05	5E-05	5E-05
Cer 36:0;3O(FA 16:0)	2E-05	2E-05	3E-05	1E-05	2E-05	2E-05	2E-05	1E-05	1E-05	0.00014	0.00011	9E-05
Cer 36:0;3O(FA 18:0)	0	0	0	0	0	0	0	0	0	3E-05	7E-05	0
Cer 36:0;3O(FA 18:1)	2E-05	2E-05	3E-05	2E-05	1E-05	1E-05	1E-05	1E-05	1E-05	0.00019	0.00021	5E-05
Cer 36:1;3O(FA 18:1)	8E-05	9E-05	0.0001	2E-05	3E-05	3E-05	2E-05	2E-05	2E-05	0.0008	0.00076	0.00044
Cer 36:1;3O(FA 18:2)	1E-05	2E-05	2E-05	1E-05	1E-05	1E-05	0	0	1E-05	0.00156	0.00208	0.00107
Cer 36:2;3O(FA 15:0)	3E-05	3E-05	0	0	0	0	0	0	1E-05	0.00015	0.00014	0.0001
Cer 36:2;3O(FA 16:0)	4E-05	2E-05	4E-05	1E-05	1E-05	0	0	3E-05	1E-05	0.00043	0.00068	0.0003
